"ID","age","real_age","year","season","n","n_nights_network","degree","norm_degree","strength","avg_strength","longevity_5x","longevity_2y","longevity_10x"
"abel",4,1,2020,"Transient",90,91,59,0.662921348314607,11.1894885318101,0.189652347996781,NA,NA,NA
"abel",5,1,2021,"Breeding",76,151,51,0.68,5.8973198677135,0.115633722896343,NA,NA,NA
"abel",5,1,2021,"Transient",133,85,99,0.75,21.4403709357484,0.216569403391398,NA,NA,NA
"abel",5,1,2021,"Post-breeding",98,123,58,0.597938144329897,10.264390584849,0.176972251462914,NA,NA,NA
"abel",6,1,2022,"Breeding",104,150,71,0.689320388349515,10.5732315171194,0.148918753762245,NA,NA,NA
"abel",6,1,2022,"Post-breeding",101,121,76,0.76,16.0260483551763,0.210869057304951,NA,NA,NA
"addo",1,1,2020,"Transient",90,81,54,0.606741573033708,12.1721930473475,0.225410982358287,2,2,2
"addo",2,1,2021,"Breeding",76,81,38,0.506666666666667,5.68567536391763,0.149623035892569,2,2,2
"alex",4,1,2021,"Transient",133,36,64,0.484848484848485,14.4959654027864,0.226499459418537,5,5,5
"alex",5,1,2022,"Breeding",104,117,70,0.679611650485437,7.87962574382248,0.112566082054607,5,5,5
"alex",5,1,2022,"Post-breeding",101,122,76,0.76,15.4107335630973,0.202772810040754,5,5,5
"aliwal",0,1,2020,"Transient",90,31,50,0.561797752808989,5.63383511474724,0.112676702294945,NA,NA,NA
"aliwal",1,1,2021,"Transient",133,78,98,0.742424242424242,17.4826689474498,0.178394581096427,NA,NA,NA
"aliwal",1,1,2021,"Post-breeding",98,123,59,0.608247422680412,12.0944052341216,0.2049899192224,NA,NA,NA
"aliwal",2,1,2022,"Breeding",104,143,71,0.689320388349515,9.59664665737758,0.135164037427853,NA,NA,NA
"aliwal",2,1,2022,"Post-breeding",101,122,76,0.76,14.42363785633,0.18978470863592,NA,NA,NA
"alyeska",0,1,2020,"Transient",90,53,54,0.606741573033708,9.61402773280634,0.178037550607525,1,1,1
"anderson",22,0,2020,"Transient",90,91,52,0.584269662921348,6.51579217046044,0.125303695585778,NA,NA,NA
"anderson",23,0,2021,"Breeding",76,151,45,0.6,2.87481604327152,0.0638848009615893,NA,NA,NA
"anderson",23,0,2021,"Transient",133,91,82,0.621212121212121,17.1870680911627,0.209598391355642,NA,NA,NA
